row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,tipo_reunion,tema_principal,instituciones_participantes,acuerdos_principales,is_codema,is_mesa_dep,is_mesa_municipal,municipios
1,reuniones,2026-01-25 00:00:00.000000000,2026,1,Enero,2026-01,True,OK,Otro,Gestiuón de fondos para caracterizacion de aguas residuales del municipio de San Antonio Palopó.,Familia Plocharski Schutt,Cotización de costos de laboratorios para caracterizacion de aguas residuales,False,False,False,San Antonio Palopó
2,reuniones,2026-01-25 00:00:00.000000000,2026,1,Enero,2026-01,True,OK,Eje de agua y saneamiento / CODEMA,Coordinación isntitucional y POA,"AALA, AMSCLAE, MARN, ONGAWA, SALUD",Seguimiento de POA y Presupuesto a proyectos de inversion de agua y saneamiento.,True,False,False,
3,reuniones,2026-01-25 00:00:00.000000000,2026,1,Enero,2026-01,True,OK,Otro,Presentacion de plan de consrvación y reforestacion.,Familia Meagli y equipo técnico AALA,Planificación de plan de reforestacion y requerimientos legales para inscripcion del área como área de conservacion.,False,False,False,
4,reuniones,2026-01-25 00:00:00.000000000,2026,1,Enero,2026-01,True,OK,Reunión técnica con municipio,Confirmación de puntos de descarga de aguas residuales para caracterizacion de aguas residuales,Director de la unidad ambiental de la municipalidad de San Antonio Palopó.,Facilitación de coordenadas y datos de puntos de descarga,False,False,False,San Antonio Palopó
5,reuniones,2026-01-25 00:00:00.000000000,2026,1,Enero,2026-01,True,OK,Reunión técnica con municipio,"Actividades de intervencion en el municipio Residuos sólidos, aguas residuales y PIRDS",Director de la unidad ambiental de la municipalidad de San Antonio Palopó.,Visita de campo para diagnostico actual del sistema de tratamiento de residuos sólidos,False,False,False,San Antonio Palopó
6,reuniones,2026-01-25 00:00:00.000000000,2026,1,Enero,2026-01,True,OK,Reunión técnica con municipio,Coordinación de actividades y asistencia técnica,Direccionales ambiental municipal de Sololá,"Seguimiento PIRDS, Diagnostico manejo de reciclables y cierre vertedero picacho.",False,False,False,Sololá
7,reuniones,2026-01-30 00:00:00.000000000,2026,1,Enero,2026-01,True,OK,Mesa técnica municipal,Presentación de avances y coordinacion de la oficina municipal de medio ambiente.,"AMSCLAE, MAGA, AALA, SALUD, SESAN, Atitlán Recicla",Acompañamiento técnico en residuos sólidos y aguas residuales,False,False,True,San Antonio Palopó
8,reuniones,2026-02-02 00:00:00.000000000,2026,2,Febrero,2026-02,True,OK,Otro,Elaboración PIRDS Municipio de San Antonio Palopó.,EPSUM-USAC,Coordinación para apoyo técnico para construcción de PIRDS,False,False,False,San Antonio Palopó
9,reuniones,2026-03-02 00:00:00.000000000,2026,3,Marzo,2026-03,True,OK,Mesa técnica municipal,"Cierre vertedero picacho y operación de centro de transferencia Coxom, Sololá.","Municipalidad, CONAP, SALU, AALA, CONRED, MARN, CONAP, AMSCLAE, VM, Reservas Militares",Apoyo a gestión de licencias ambietnales y acompañamiento técnico a manejo y tratamiento de residuos sólidos.,False,False,True,Sololá
10,reuniones,2026-02-04 22:00:00.000000417,2026,2,Febrero,2026-02,True,OK,Otro,Avances de losgistica de simposio 2026,"AMSCLAE, AALA, VM","Información de becas, presupuestos e informacion de ponentes.",False,False,False,
11,reuniones,2026-02-18 00:00:00.000000000,2026,2,Febrero,2026-02,True,OK,Eje de agua y saneamiento / CODEMA,"Calidad de agua del lago de atitlan, POA de eje.","AALA, AMSCLAE, MARN, ONGAWA, SALUD",Elaboración de matriz para actualización de POA 2026 institucional,True,False,False,
12,reuniones,2026-02-20 00:00:00.000000000,2026,2,Febrero,2026-02,True,OK,Reunión técnica con municipio,Apoyo técnico municipal para PIRDS y caracterización de residuos sólidos sector comercial y de mercados.,UGAM - AALA,Reunión de seguimiento 9 de marzo 2026,False,False,False,San Juan La Laguna
13,reuniones,2026-02-26 22:00:00.000000417,2026,2,Febrero,2026-02,True,OK,Mesa técnica municipal,Presentacion de intervencion institucional en el municipoio de Santa Lucia Utatlán.,"AALA-AR, MARN, AMSCLAE, AIRES, CONAP, ACH",Planificación de relleno sanitario municipal,False,False,True,
14,reuniones,2026-03-01 22:00:00.000000417,2026,3,Marzo,2026-03,True,OK,Otro,Seguimiento producción forestal ,AALA- AgroProgreso,Visita área de producción para conocer aplicaciones a pilones forestales ,False,False,False,
15,reuniones,2026-03-03 00:00:00.000000000,2026,3,Marzo,2026-03,True,OK,Mesa técnica municipal,"Seguimiento requerimientos para cierre de vertedero picacho,Sololá.","AALA, Municipalidad de Sololá","Análisis del informe técnico para cierre técnico de vertedero municipal Picacho, Sololá.",False,False,True,Sololá
16,reuniones,2026-03-03 22:00:00.000000417,2026,3,Marzo,2026-03,True,OK,Mesa técnica municipal,Informe de avances de la oficina ambiental municipal de Santa Cruz La Laguna,"AALA, MAGA, VM, SALUD",Acompañamiento técnicoa visita de campo para verificación de vertedero ilegal el 10 de marzo.,False,False,True,Santa Cruz La Laguna
17,reuniones,2026-03-04 22:00:00.000000417,2026,3,Marzo,2026-03,True,OK,Otro,Revisión de becas para evento de simposio 2026,"AALA, VM, AMSCLAE",Aprobación de solicitud de becas a sociedad civil y académica.,False,False,False,
